Code,Operation,BCode,Weight
CMP-01,+,INP-15,
CMP-01,+,INP-09,
CMP-02,+,INP-05,
CMP-02,+,INP-06,
CMP-03,+,INP-14,
CMP-03,+,INP-18,
CMP-03,*,INP-15,
CMP-04,+,INP-17,
CMP-04,+,INP-15,
CMP-04,+,INP-13,
CMP-05,+,INP-08,
CMP-05,+,INP-03,0.6
CMP-05,+,INP-02,
CMP-05,-,INP-18,
CMP-06,+,INP-21,
CMP-06,+,INP-19,
CMP-07,+,INP-07,
CMP-07,+,INP-05,
CMP-07,+,INP-18,
CMP-07,+,INP-10,
CMP-08,+,INP-14,
CMP-08,-,INP-06,
CMP-08,+,INP-10,
CMP-08,+,INP-15,0.85
CMP-09,+,INP-01,
CMP-09,+,INP-18,
CMP-09,*,INP-11,
CMP-10,+,INP-19,
CMP-10,-,INP-14,
CMP-10,+,INP-07,
CMP-10,+,INP-13,
CMP-11,+,INP-12,
CMP-11,+,INP-13,
CMP-11,+,INP-07,
CMP-12,+,INP-20,
CMP-12,+,INP-19,
CMP-12,+,INP-08,
CMP-12,+,INP-21,
CMP-13,+,INP-06,0.79
CMP-13,+,INP-19,
CMP-13,-,INP-20,
CMP-13,*,INP-11,
CMP-14,+,INP-12,
CMP-14,+,INP-19,
CMP-15,+,INP-02,
CMP-15,+,INP-06,
CMP-15,+,INP-08,0.24
CMP-15,+,INP-07,
CMP-16,+,INP-13,
CMP-16,+,INP-20,
CMP-16,+,INP-17,
CMP-17,+,INP-05,
CMP-17,+,INP-14,
CMP-17,-,INP-08,
CMP-17,+,INP-03,
CMP-18,+,INP-11,
CMP-18,+,INP-12,
CMP-18,+,INP-13,
CMP-19,+,INP-19,
CMP-19,+,INP-02,
CMP-19,+,INP-13,
CMP-19,+,INP-18,0.86
CMP-19,+,EXT-02,
CMP-20,+,INP-09,
CMP-20,+,INP-14,
CMP-20,-,INP-08,
CMP-21,+,INP-04,
CMP-21,+,INP-16,
CMP-21,-,INP-22,
CMP-22,+,INP-05,
CMP-22,+,INP-04,
CMP-22,+,INP-06,0.37
CMP-22,+,INP-21,0.16
CMP-23,+,INP-06,
CMP-23,+,INP-12,
CMP-23,-,INP-08,
CMP-23,+,INP-01,0.57
CMP-24,+,INP-17,0.55
CMP-24,+,INP-12,0.49
CMP-24,+,INP-01,
CMP-24,*,INP-02,
CMP-24,+,EXT-03,
CMP-25,+,INP-19,
CMP-25,+,INP-10,
CMP-25,+,INP-01,0.38
CMP-25,+,INP-18,
CMP-26,+,INP-17,0.61
CMP-26,+,INP-02,
CMP-27,+,INP-05,
CMP-27,+,INP-01,
CMP-27,+,INP-09,
CMP-27,+,INP-17,
CMP-28,+,INP-09,
CMP-28,+,INP-06,
CMP-28,-,INP-02,
CMP-28,*,INP-02,
CMP-29,+,INP-02,0.58
CMP-29,-,INP-03,
CMP-29,+,INP-20,
CMP-30,+,INP-03,0.24
CMP-30,-,INP-21,
ASM-01,+,CMP-03,
ASM-01,+,CMP-16,0.36
ASM-02,+,CMP-25,
ASM-02,+,CMP-12,
ASM-02,+,CMP-26,
ASM-02,+,CMP-06,
ASM-02,+,EXT-03,
ASM-03,+,CMP-19,
ASM-03,+,CMP-08,
ASM-03,+,CMP-30,0.16
ASM-03,-,CMP-04,
ASM-03,+,EXT-04,
ASM-04,+,CMP-19,0.19
ASM-04,+,CMP-06,
ASM-04,+,CMP-02,
ASM-05,+,CMP-21,
ASM-05,-,CMP-10,0.75
ASM-05,-,CMP-11,0.78
ASM-05,+,EXT-03,
ASM-06,+,CMP-17,
ASM-06,-,CMP-23,
ASM-07,+,CMP-27,
ASM-07,+,CMP-21,
ASM-08,+,CMP-28,
ASM-08,-,CMP-16,
ASM-08,+,CMP-06,
ASM-08,+,CMP-09,
ASM-09,+,CMP-25,
ASM-09,+,CMP-10,
ASM-09,-,CMP-27,
ASM-09,*,INP-01,
ASM-10,+,CMP-28,
ASM-10,+,CMP-22,
ASM-10,+,CMP-07,
ASM-10,+,EXT-01,
ASM-11,+,CMP-21,
ASM-11,+,CMP-11,
ASM-11,+,CMP-29,
ASM-11,+,CMP-17,
ASM-11,*,INP-15,
ASM-12,+,CMP-01,
ASM-12,+,CMP-15,0.43
ASM-13,+,CMP-08,
ASM-13,+,CMP-29,
ASM-13,+,CMP-03,
ASM-14,+,CMP-20,
ASM-14,+,CMP-25,
ASM-14,*,INP-02,
ASM-15,+,CMP-28,
ASM-15,+,CMP-19,
ASM-15,+,CMP-22,
ASM-15,+,CMP-29,0.62
ASM-16,+,CMP-05,
ASM-16,+,CMP-27,0.89
ASM-16,+,MOD-03,0.05
ASM-17,+,CMP-01,
ASM-17,+,CMP-11,
ASM-17,-,CMP-07,
ASM-17,*,INP-02,
ASM-18,+,CMP-30,
ASM-18,+,CMP-02,
ASM-18,+,CMP-27,
ASM-19,+,CMP-13,
ASM-19,+,CMP-17,
ASM-19,+,CMP-19,
ASM-20,+,CMP-07,
ASM-20,+,CMP-23,0.3
ASM-21,+,CMP-16,
ASM-21,-,CMP-22,
ASM-22,+,CMP-19,0.79
ASM-22,+,CMP-04,
ASM-22,*,INP-11,
ASM-23,+,CMP-13,
ASM-23,+,CMP-01,
ASM-24,+,CMP-23,0.59
ASM-24,-,CMP-16,
ASM-24,+,CMP-08,
ASM-24,+,CMP-18,
MOD-01,+,ASM-12,0.27
