Code,Value,Description,Type
INP-01,1.001,Escalation rate applied to the assembly cell,Input
INP-02,1.079,Escalation rate applied to the south plant,Input
INP-03,404.24,Tracks scrap allowance across the south plant,Input
INP-04,565.92,Tracks scrap allowance across the north plant,Input
INP-05,569,Allocates logistics fee across the service network,Input
INP-06,44.61,Drives quality margin across the south plant,Input
INP-07,558.42,Reconciles energy draw across the packing bay,Input
INP-08,383.03,Feeds warranty reserve across the assembly cell,Input
INP-09,545.21,Aggregates utilisation index across the assembly cell,Input
INP-10,247.02,Drives logistics fee across line B,Input
INP-11,1.186,Escalation rate applied to line B,Input
INP-12,437.16,Balances warranty reserve across the finishing stage,Input
INP-13,586.19,Supports logistics fee across the supply chain,Input
INP-14,117.71,Normalises material cost across the finishing stage,Input
INP-15,1.294,Escalation rate applied to line B,Input
INP-16,108.6,Supports energy draw across the finishing stage,Input
INP-17,359.25,Balances downtime loss across line A,Input
INP-18,476.9,Balances carrier spend across the north plant,Input
INP-19,180.38,Buffers warranty reserve across the south plant,Input
INP-20,221.74,Aggregates downtime loss across the supply chain,Input
INP-21,75.19,Tracks utilisation index across the north plant,Input
INP-22,503.83,Normalises logistics fee across the south plant,Input
CMP-01,546.504,Consolidates overhead pool across line B,Component
CMP-02,613.61,Normalises logistics fee across the north plant,Component
CMP-03,734.8186,Reconciles capacity share across the finishing stage,Component
CMP-04,946.734,Consolidates capacity share across the service network,Component
CMP-05,149.753,Normalises logistics fee across the south plant,Component
CMP-06,255.57,Consolidates energy draw across the supply chain,Component
CMP-07,1851.34,Supports labour load across the supply chain,Component
CMP-08,321.2199,Allocates warranty reserve across the finishing stage,Component
CMP-09,566.6044,Supports throughput rate across the south plant,Component
CMP-10,1207.28,Balances material cost across the packing bay,Component
CMP-11,1581.77,Tracks capacity share across line B,Component
CMP-12,860.34,Allocates energy draw across the finishing stage,Component
CMP-13,-47.36174,Drives material cost across line B,Component
CMP-14,617.54,Supports labour load across line A,Component
CMP-15,696.0362,Feeds scrap allowance across the finishing stage,Component
CMP-16,1167.18,Allocates overhead pool across line B,Component
CMP-17,707.92,Buffers yield factor across the north plant,Component
CMP-18,1024.536,Reconciles quality margin across line B,Component
CMP-19,1222.423,Buffers scrap allowance across the finishing stage,Component
CMP-20,279.89,Reconciles carrier spend across the supply chain,Component
CMP-21,170.69,Regulates warranty reserve across the packing bay,Component
CMP-22,1163.4561,Feeds material cost across the supply chain,Component
CMP-23,99.31057,Tracks scrap allowance across line B,Component
CMP-24,516.415979,Aggregates energy draw across the service network,Component
CMP-25,904.68038,Aggregates scrap allowance across the south plant,Component
CMP-26,220.2215,Buffers throughput rate across the north plant,Component
CMP-27,1474.461,Reconciles tooling charge across the north plant,Component
CMP-28,588.655759,Buffers warranty reserve across the assembly cell,Component
CMP-29,-181.87418,Allocates throughput rate across the service network,Component
CMP-30,21.8276,Feeds utilisation index across the assembly cell,Component
ASM-01,1155.0034,Drives logistics fee across the finishing stage,Assembly
ASM-02,2344.35188,Regulates overhead pool across line B,Assembly
ASM-03,632.841316,Allocates downtime loss across line B,Assembly
ASM-04,1101.44037,Tracks logistics fee across the service network,Assembly
ASM-05,-1865.0106,Tracks energy draw across the finishing stage,Assembly
ASM-06,608.60943,Aggregates material cost across the north plant,Assembly
ASM-07,1645.151,Consolidates utilisation index across line A,Assembly
ASM-08,243.650159,Consolidates throughput rate across the finishing stage,Assembly
ASM-09,636.024919,Normalises quality margin across the supply chain,Assembly
ASM-10,3728.911859,Buffers throughput rate across the supply chain,Assembly
ASM-11,2486.6343,Drives material cost across the assembly cell,Assembly
ASM-12,845.799566,Allocates warranty reserve across the finishing stage,Assembly
ASM-13,874.16432,Aggregates overhead pool across the service network,Assembly
ASM-14,1256.04013,Aggregates quality margin across line A,Assembly
