Code,Operation,BCode
1,-,66
1,+,18
1,-,85
2,-,59
2,-,80
2,-,30
2,-,24
2,+,11
3,-,63
3,-,53
3,-,85
3,-,74
3,+,98
4,+,30
4,+,58
4,-,2
4,+,19
4,+,28
5,-,74
5,-,46
5,-,80
5,-,30
5,-,7
6,-,32
6,+,95
6,+,41
6,+,8
6,+,67
7,+,67
7,-,6
7,+,31
8,+,21
8,-,16
8,-,66
8,-,7
8,-,23
9,-,4
9,+,68
9,+,44
9,-,50
9,+,14
10,-,56
10,-,75
11,-,95
11,-,26
11,+,44
12,+,76
12,-,5
12,-,39
12,+,55
12,+,24
13,+,38
13,-,53
14,+,58
14,+,29
15,-,50
15,-,46
16,-,66
16,+,48
16,-,94
16,-,58
16,+,58
17,+,1
17,+,52
17,-,16
18,+,34
18,+,68
19,+,70
19,+,83
20,-,85
20,+,59
20,+,9
21,+,59
21,-,62
21,+,87
22,+,50
22,-,78
23,-,66
23,-,43
23,-,24
23,+,38
24,+,49
24,-,45
24,+,30
24,+,5
25,-,44
25,+,14
25,-,59
